,beach_name,water_temperature,turbidity,wave_height,wave_period,battery_life,time_of_day,month,day,year
123,Calumet Beach,17.1,1.43,0.132,3.0,11.6,01:00:00,05,31,2014
124,Montrose Beach,16.4,3.68,0.152,2.0,11.8,01:00:00,05,31,2014
125,Montrose Beach,16.3,3.56,0.14400000000000002,3.0,11.8,02:00:00,05,31,2014
126,Calumet Beach,17.0,1.44,0.13699999999999998,3.0,11.6,02:00:00,05,31,2014
127,Montrose Beach,16.2,3.38,0.147,3.0,11.8,03:00:00,05,31,2014
128,Calumet Beach,16.8,1.5,0.136,3.0,11.6,03:00:00,05,31,2014
129,Montrose Beach,16.0,3.08,0.166,3.0,11.8,04:00:00,05,31,2014
130,Calumet Beach,16.8,1.71,0.133,4.0,11.6,04:00:00,05,31,2014
131,Montrose Beach,16.0,3.0,0.161,2.0,11.8,05:00:00,05,31,2014
132,Calumet Beach,16.7,1.58,0.134,3.0,11.6,05:00:00,05,31,2014
133,Montrose Beach,15.9,3.11,0.163,3.0,11.8,06:00:00,05,31,2014
134,Calumet Beach,17.0,2.2,0.127,3.0,11.6,06:00:00,05,31,2014
135,Montrose Beach,16.0,3.16,0.147,3.0,11.8,07:00:00,05,31,2014
136,Calumet Beach,16.8,1.68,0.11800000000000001,3.0,11.6,07:00:00,05,31,2014
137,Montrose Beach,16.0,3.18,0.138,3.0,11.8,08:00:00,05,31,2014
138,Calumet Beach,17.0,1.7,0.113,3.0,11.6,08:00:00,05,31,2014
139,Montrose Beach,16.2,3.07,0.145,3.0,11.8,09:00:00,05,31,2014
140,Calumet Beach,17.1,1.62,0.1,3.0,11.6,09:00:00,05,31,2014
141,Montrose Beach,16.5,2.88,0.14400000000000002,3.0,11.8,10:00:00,05,31,2014
142,Calumet Beach,17.4,1.66,0.09699999999999999,3.0,11.6,10:00:00,05,31,2014
143,Montrose Beach,16.8,2.91,0.158,4.0,11.8,11:00:00,05,31,2014
144,Calumet Beach,17.8,1.76,0.096,3.0,11.6,11:00:00,05,31,2014
145,Montrose Beach,17.3,2.49,0.131,2.0,11.8,12:00:00,05,31,2014
146,Calumet Beach,18.0,1.31,0.109,2.0,11.6,12:00:00,05,31,2014
147,Montrose Beach,17.6,2.85,0.15,3.0,11.8,01:00:00,05,31,2014
148,Calumet Beach,18.4,1.31,0.106,3.0,11.6,01:00:00,05,31,2014
149,Calumet Beach,19.2,1.19,0.115,3.0,11.6,02:00:00,05,31,2014
150,Montrose Beach,19.2,3.57,0.156,3.0,11.8,02:00:00,05,31,2014
151,Calumet Beach,19.3,1.25,0.11,2.0,11.6,03:00:00,05,31,2014
152,Montrose Beach,19.7,3.68,0.158,2.0,11.7,03:00:00,05,31,2014
153,Montrose Beach,20.1,3.11,0.215,4.0,11.8,04:00:00,05,31,2014
154,Calumet Beach,19.8,1.16,0.166,2.0,11.6,04:00:00,05,31,2014
155,Montrose Beach,19.4,2.54,0.243,2.0,11.8,05:00:00,05,31,2014
156,Calumet Beach,20.3,1.27,0.158,2.0,11.6,05:00:00,05,31,2014
157,Calumet Beach,21.0,1.65,0.226,3.0,11.6,06:00:00,05,31,2014
158,Montrose Beach,18.4,2.64,0.218,2.0,11.8,06:00:00,05,31,2014
159,Calumet Beach,20.6,1.43,0.18,3.0,11.6,07:00:00,05,31,2014
160,Montrose Beach,19.5,3.82,0.205,3.0,11.8,07:00:00,05,31,2014
161,Calumet Beach,20.4,1.38,0.156,3.0,11.6,08:00:00,05,31,2014
162,Montrose Beach,18.1,2.66,0.21100000000000002,3.0,11.8,08:00:00,05,31,2014
163,Montrose Beach,17.7,2.49,0.22,3.0,11.8,09:00:00,05,31,2014
164,Calumet Beach,20.3,1.77,0.17800000000000002,3.0,11.6,09:00:00,05,31,2014
165,Calumet Beach,19.6,1.43,0.177,3.0,11.6,10:00:00,05,31,2014
166,Montrose Beach,17.0,2.18,0.2,3.0,11.8,10:00:00,05,31,2014
167,Calumet Beach,19.2,1.38,0.163,3.0,11.6,11:00:00,05,31,2014
168,Montrose Beach,16.7,2.09,0.204,3.0,11.8,11:00:00,05,31,2014
169,Calumet Beach,19.3,1.56,0.17300000000000001,3.0,11.6,12:00:00,06,01,2014
170,Montrose Beach,16.3,2.04,0.19399999999999998,2.0,11.7,12:00:00,06,01,2014
171,Calumet Beach,19.1,1.43,0.16,3.0,11.6,01:00:00,06,01,2014
172,Montrose Beach,16.2,1.95,0.191,3.0,11.8,01:00:00,06,01,2014
173,Montrose Beach,16.0,1.7,0.192,3.0,11.7,02:00:00,06,01,2014
174,Calumet Beach,18.6,1.37,0.17,3.0,11.6,02:00:00,06,01,2014
175,Calumet Beach,18.2,1.45,0.183,3.0,11.6,03:00:00,06,01,2014
176,Montrose Beach,15.7,1.16,0.18600000000000003,3.0,11.7,03:00:00,06,01,2014
177,Montrose Beach,15.4,0.86,0.17600000000000002,3.0,11.7,04:00:00,06,01,2014
178,Calumet Beach,17.9,1.56,0.17,3.0,11.6,04:00:00,06,01,2014
179,Calumet Beach,17.8,1.65,0.174,3.0,11.6,05:00:00,06,01,2014
180,Montrose Beach,15.3,0.62,0.162,3.0,11.7,05:00:00,06,01,2014
181,Calumet Beach,17.7,1.5,0.172,3.0,11.6,06:00:00,06,01,2014
182,Montrose Beach,15.1,0.54,0.154,3.0,11.7,06:00:00,06,01,2014
183,Calumet Beach,17.7,1.44,0.16899999999999998,3.0,11.6,07:00:00,06,01,2014
184,Montrose Beach,15.1,0.49,0.152,6.0,11.7,07:00:00,06,01,2014
185,Calumet Beach,17.8,1.38,0.168,3.0,11.6,08:00:00,06,01,2014
186,Montrose Beach,15.2,0.43,0.151,3.0,11.7,08:00:00,06,01,2014
187,Calumet Beach,18.0,1.39,0.151,3.0,11.6,09:00:00,06,01,2014
188,Montrose Beach,15.3,0.36,0.16,3.0,11.7,09:00:00,06,01,2014
189,Montrose Beach,15.6,0.33,0.163,3.0,11.7,10:00:00,06,01,2014
190,Calumet Beach,18.2,1.43,0.127,3.0,11.6,10:00:00,06,01,2014
191,Montrose Beach,15.8,0.33,0.175,3.0,11.7,11:00:00,06,01,2014
192,Calumet Beach,18.2,1.34,0.126,3.0,11.6,11:00:00,06,01,2014
193,Montrose Beach,16.0,0.4,0.155,3.0,11.7,12:00:00,06,01,2014
194,Calumet Beach,18.5,1.31,0.12300000000000001,2.0,11.6,12:00:00,06,01,2014
195,Montrose Beach,16.2,0.35,0.156,3.0,11.7,01:00:00,06,01,2014
196,Calumet Beach,18.8,1.29,0.11699999999999999,6.0,11.6,01:00:00,06,01,2014
197,Montrose Beach,16.3,0.32,0.138,3.0,11.7,02:00:00,06,01,2014
198,Calumet Beach,18.9,1.27,0.11900000000000001,3.0,11.6,02:00:00,06,01,2014
199,Montrose Beach,16.3,0.36,0.165,3.0,11.7,03:00:00,06,01,2014
200,Calumet Beach,18.8,1.19,0.113,3.0,11.6,03:00:00,06,01,2014
201,Montrose Beach,16.3,0.43,0.145,2.0,11.7,04:00:00,06,01,2014
202,Calumet Beach,19.1,1.31,0.122,2.0,11.6,04:00:00,06,01,2014
203,Montrose Beach,16.3,0.49,0.179,4.0,11.7,05:00:00,06,01,2014
204,Calumet Beach,19.2,1.44,0.115,2.0,11.6,05:00:00,06,01,2014
205,Calumet Beach,18.7,1.25,0.109,9.0,11.6,06:00:00,06,01,2014
206,Montrose Beach,16.4,0.5,0.12,7.0,11.7,06:00:00,06,01,2014
207,Calumet Beach,18.3,1.12,0.139,2.0,11.6,07:00:00,06,01,2014
208,Montrose Beach,16.2,0.53,0.12300000000000001,6.0,11.7,07:00:00,06,01,2014
209,Calumet Beach,18.3,1.14,0.133,2.0,11.6,08:00:00,06,01,2014
210,Montrose Beach,16.1,0.55,0.106,5.0,11.7,08:00:00,06,01,2014
211,Calumet Beach,18.3,1.11,0.10300000000000001,2.0,11.6,09:00:00,06,01,2014
212,Montrose Beach,16.2,0.55,0.11599999999999999,3.0,11.7,09:00:00,06,01,2014
213,Calumet Beach,18.1,1.06,0.095,3.0,11.6,10:00:00,06,01,2014
214,Montrose Beach,16.3,0.44,0.111,3.0,11.7,10:00:00,06,01,2014
215,Calumet Beach,18.1,1.07,0.128,2.0,11.6,11:00:00,06,01,2014
216,Montrose Beach,16.4,0.43,0.107,9.0,11.7,11:00:00,06,01,2014
217,Montrose Beach,16.1,0.44,0.11,7.0,11.7,12:00:00,06,02,2014
218,Calumet Beach,18.1,1.07,0.136,2.0,11.6,12:00:00,06,02,2014
219,Calumet Beach,18.0,1.03,0.127,2.0,11.6,01:00:00,06,02,2014
220,Montrose Beach,16.2,0.44,0.105,3.0,11.7,01:00:00,06,02,2014
221,Calumet Beach,18.0,1.04,0.111,2.0,11.6,02:00:00,06,02,2014
222,Montrose Beach,16.1,0.43,0.105,3.0,11.7,02:00:00,06,02,2014
223,Calumet Beach,18.0,1.06,0.10300000000000001,2.0,11.6,03:00:00,06,02,2014
224,Montrose Beach,16.2,0.44,0.098,3.0,11.7,03:00:00,06,02,2014
225,Calumet Beach,17.9,1.02,0.102,2.0,11.6,04:00:00,06,02,2014
226,Montrose Beach,16.3,0.42,0.10800000000000001,4.0,11.7,04:00:00,06,02,2014
227,Calumet Beach,17.8,1.0,0.098,2.0,11.6,05:00:00,06,02,2014
228,Montrose Beach,16.3,0.48,0.10099999999999999,4.0,11.7,05:00:00,06,02,2014
229,Calumet Beach,17.8,0.96,0.111,2.0,11.6,06:00:00,06,02,2014
230,Montrose Beach,16.4,0.39,0.099,3.0,11.7,06:00:00,06,02,2014
231,Calumet Beach,18.0,0.99,0.126,2.0,11.6,07:00:00,06,02,2014
232,Montrose Beach,16.4,0.42,0.098,3.0,11.7,07:00:00,06,02,2014
233,Calumet Beach,18.1,0.98,0.127,2.0,11.5,08:00:00,06,02,2014
234,Montrose Beach,16.1,0.36,0.095,4.0,11.7,08:00:00,06,02,2014
235,Calumet Beach,18.2,1.01,0.128,3.0,11.5,09:00:00,06,02,2014
236,Montrose Beach,16.2,0.42,0.106,3.0,11.7,09:00:00,06,02,2014
237,Calumet Beach,18.2,0.99,0.131,3.0,11.5,10:00:00,06,02,2014
238,Montrose Beach,16.6,0.39,0.11800000000000001,4.0,11.7,10:00:00,06,02,2014
239,Calumet Beach,18.3,0.97,0.114,2.0,11.5,11:00:00,06,02,2014
240,Montrose Beach,16.5,0.37,0.11800000000000001,3.0,11.7,11:00:00,06,02,2014
241,Calumet Beach,18.4,0.96,0.111,3.0,11.5,12:00:00,06,02,2014
242,Montrose Beach,16.8,0.36,0.122,4.0,11.7,12:00:00,06,02,2014
243,Calumet Beach,18.5,0.92,0.113,3.0,11.5,01:00:00,06,02,2014
244,Montrose Beach,17.7,0.39,0.113,4.0,11.7,01:00:00,06,02,2014
245,Calumet Beach,18.7,0.94,0.084,2.0,11.5,02:00:00,06,02,2014
246,Montrose Beach,17.9,0.6,0.102,4.0,11.7,02:00:00,06,02,2014
247,Calumet Beach,18.8,0.92,0.081,3.0,11.5,03:00:00,06,02,2014
248,Montrose Beach,17.4,0.38,0.106,4.0,11.7,03:00:00,06,02,2014
249,Calumet Beach,18.7,0.84,0.092,3.0,11.5,04:00:00,06,02,2014
250,Montrose Beach,17.3,0.35,0.10300000000000001,10.0,11.7,04:00:00,06,02,2014
251,Calumet Beach,18.4,0.79,0.102,2.0,11.5,05:00:00,06,02,2014
252,Montrose Beach,17.3,0.3,0.10099999999999999,3.0,11.7,05:00:00,06,02,2014
253,Calumet Beach,18.4,0.76,0.091,4.0,11.5,06:00:00,06,02,2014
254,Montrose Beach,17.2,0.29,0.11599999999999999,7.0,11.7,06:00:00,06,02,2014
255,Calumet Beach,18.5,0.77,0.078,3.0,11.5,07:00:00,06,02,2014
256,Montrose Beach,17.0,0.29,0.106,6.0,11.7,07:00:00,06,02,2014
257,Calumet Beach,18.3,0.75,0.08199999999999999,2.0,11.5,08:00:00,06,02,2014
258,Montrose Beach,16.8,0.31,0.12300000000000001,4.0,11.7,08:00:00,06,02,2014
259,Calumet Beach,18.2,0.92,0.087,2.0,11.5,09:00:00,06,02,2014
260,Montrose Beach,16.9,0.33,0.106,4.0,11.7,09:00:00,06,02,2014
261,Calumet Beach,18.1,0.87,0.087,3.0,11.5,10:00:00,06,02,2014
262,Montrose Beach,16.8,0.34,0.099,3.0,11.7,10:00:00,06,02,2014
263,Calumet Beach,18.0,0.81,0.073,3.0,11.5,11:00:00,06,02,2014
264,Montrose Beach,16.5,0.3,0.09699999999999999,3.0,11.7,11:00:00,06,02,2014
265,Calumet Beach,17.9,0.86,0.065,8.0,11.5,12:00:00,06,03,2014
266,Montrose Beach,16.3,0.31,0.096,8.0,11.7,12:00:00,06,03,2014
267,Calumet Beach,17.8,1.06,0.07400000000000001,3.0,11.5,01:00:00,06,03,2014
268,Montrose Beach,16.1,0.31,0.092,4.0,11.7,01:00:00,06,03,2014
269,Calumet Beach,17.7,0.9,0.076,2.0,11.5,02:00:00,06,03,2014
270,Montrose Beach,16.0,0.27,0.087,5.0,11.7,02:00:00,06,03,2014
271,Calumet Beach,17.6,0.86,0.064,3.0,11.5,03:00:00,06,03,2014
272,Montrose Beach,16.1,0.29,0.083,5.0,11.7,03:00:00,06,03,2014
273,Calumet Beach,17.6,0.89,0.06,3.0,11.5,04:00:00,06,03,2014
274,Montrose Beach,15.8,0.27,0.08199999999999999,5.0,11.7,04:00:00,06,03,2014
275,Calumet Beach,17.4,0.87,0.052000000000000005,4.0,11.5,06:00:00,06,03,2014
276,Calumet Beach,17.5,0.91,0.062,3.0,11.5,05:00:00,06,03,2014
277,Montrose Beach,15.7,0.28,0.079,5.0,11.7,05:00:00,06,03,2014
278,Ohio Street Beach,21.9,4.97,0.24100000000000002,7.0,9.4,03:00:00,09,03,2013
279,Montrose Beach,15.6,0.28,0.086,7.0,11.7,06:00:00,06,03,2014
280,Calumet Beach,17.4,0.81,0.073,3.0,11.5,07:00:00,06,03,2014
281,Montrose Beach,15.6,0.25,0.08800000000000001,4.0,11.7,07:00:00,06,03,2014
282,Calumet Beach,17.6,0.79,0.071,4.0,11.5,08:00:00,06,03,2014
283,Montrose Beach,15.6,0.25,0.11699999999999999,2.0,11.7,08:00:00,06,03,2014
284,Calumet Beach,17.9,0.96,0.094,3.0,11.5,10:00:00,06,03,2014
285,Montrose Beach,15.6,0.26,0.168,3.0,11.7,10:00:00,06,03,2014
286,Calumet Beach,18.2,0.92,0.096,3.0,11.5,11:00:00,06,03,2014
287,Montrose Beach,15.7,0.24,0.18100000000000002,2.0,11.6,11:00:00,06,03,2014
288,Calumet Beach,18.4,0.88,0.115,3.0,11.5,12:00:00,06,03,2014
289,Montrose Beach,15.9,0.21,0.192,2.0,11.7,12:00:00,06,03,2014
290,Calumet Beach,18.6,1.05,0.11900000000000001,3.0,11.5,01:00:00,06,03,2014
291,Montrose Beach,16.2,0.19,0.21,3.0,11.6,01:00:00,06,03,2014
292,Calumet Beach,18.6,0.88,0.124,3.0,11.5,02:00:00,06,03,2014
293,Montrose Beach,16.5,0.18,0.17,2.0,11.6,02:00:00,06,03,2014
294,Calumet Beach,19.0,0.83,0.11699999999999999,3.0,11.5,03:00:00,06,03,2014
295,Montrose Beach,17.0,0.15,0.17300000000000001,3.0,11.6,03:00:00,06,03,2014
296,Calumet Beach,20.5,0.79,0.131,3.0,11.5,04:00:00,06,03,2014
297,Montrose Beach,19.7,1.41,0.15,3.0,11.6,04:00:00,06,03,2014
298,Calumet Beach,20.3,0.84,0.124,3.0,11.5,05:00:00,06,03,2014
299,Montrose Beach,17.7,0.43,0.131,3.0,11.6,05:00:00,06,03,2014
300,Calumet Beach,19.8,0.77,0.122,2.0,11.5,06:00:00,06,03,2014
301,Montrose Beach,16.9,0.25,0.134,7.0,11.6,06:00:00,06,03,2014
302,Calumet Beach,20.0,0.83,0.114,3.0,11.5,07:00:00,06,03,2014
303,Montrose Beach,16.4,0.2,0.136,4.0,11.6,07:00:00,06,03,2014
