name,college_country,g,gs,mp,fg,fga,fg%,2p,2pa,2p%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,sos,position,height,handedness,per,vorp
Lazar Hayward,Marquette,138,118,26.40,4.80,10.70,0.452,3.60,7.30,0.497,1.20,3.40,0.357,2.60,3.30,0.789,2.20,4.40,6.60,0.90,1.10,0.30,1.70,2.70,13.50,7.79,forward,"""6-6""",right,9.00,-0.30
Dexter Pittman,Texas,134,59,12.20,2.50,4.00,0.623,2.50,4.00,0.623,0.00,0.00,0.000,1.60,2.60,0.601,2.00,1.90,3.90,0.30,0.20,0.90,1.10,2.00,6.60,7.54,center,"""6-11""",right,9.10,-0.50
Hassan Whiteside,Marshall,34,23,26.10,4.90,9.40,0.524,4.80,9.20,0.522,0.10,0.10,0.600,3.20,5.50,0.588,2.70,6.20,8.90,0.30,0.60,5.40,1.90,2.40,13.10,1.57,center,"""7-0""",right,24.30,13.30
Armon Johnson,Nevada-Reno,101,99,32.70,5.40,11.60,0.467,4.70,9.20,0.514,0.70,2.40,0.289,2.80,3.70,0.750,0.80,2.90,3.70,4.40,0.80,0.20,2.70,1.70,14.30,1.28,guard,"""6-3""",left,10.40,-0.20
Terrico White,Mississippi,66,55,30.80,5.30,12.30,0.429,3.40,7.00,0.491,1.90,5.40,0.347,2.00,3.00,0.680,1.20,2.80,4.00,1.90,0.80,0.20,1.50,1.80,14.50,5.59,guard,"""6-6""",right,0.00,0.00
Darington Hobson,New Mexico,35,35,33.60,5.50,12.50,0.440,4.40,9.50,0.465,1.10,3.10,0.361,3.70,5.70,0.653,2.10,7.10,9.30,4.60,1.30,0.40,3.00,1.90,15.90,3.84,guard,"""6-7""",left,-3.30,-0.10
Andy Rautins,Syracuse,127,65,24.40,2.80,7.10,0.396,0.60,1.20,0.506,2.20,5.90,0.374,0.90,1.20,0.763,0.40,2.20,2.60,2.70,1.40,0.20,1.70,1.90,8.80,7.83,guard,"""6-4""",right,-1.20,-0.10
Landry Fields,Stanford,129,65,23.60,3.90,8.40,0.463,3.10,6.00,0.510,0.80,2.30,0.342,2.30,3.30,0.676,1.60,3.50,5.00,1.60,0.90,0.40,1.50,1.60,10.80,7.35,forward,"""6-7""",right,12.10,2.60
Lance Stephenson,Cincinnati,34,32,28.20,4.80,10.80,0.440,4.30,8.70,0.495,0.50,2.10,0.219,2.30,3.50,0.664,1.90,3.50,5.40,2.50,0.90,0.20,2.40,1.90,12.30,8.45,forward,"""6-6""",right,12.10,2.50
Jarvis Varnado,Mississippi State,141,119,25.50,3.90,6.60,0.589,3.90,6.60,0.591,0.00,0.00,0.000,2.20,3.60,0.595,2.50,5.30,7.80,0.60,0.50,4.00,1.40,2.40,10.00,5.47,forward,"""6-9""",right,11.50,-0.10
Da'Sean Butler,West Virginia,146,110,30.80,5.10,11.30,0.448,3.70,7.30,0.500,1.40,4.00,0.353,2.80,3.80,0.732,1.80,3.60,5.50,1.90,1.10,0.20,1.70,2.30,14.30,7.80,forward,"""6-8""",left,0.00,0.00
Devin Ebanks,West Virginia,69,65,32.10,4.00,8.60,0.463,3.90,7.60,0.510,0.10,1.00,0.114,3.10,4.20,0.736,2.80,5.20,7.90,2.60,0.90,0.70,2.10,1.70,11.20,9.30,forward,"""6-9""",right,9.60,-0.50
Jerome Jordan,Tulsa,133,119,24.20,4.10,7.20,0.567,4.10,7.20,0.567,0.00,0.00,0.000,3.10,4.50,0.696,2.20,5.20,7.40,0.80,0.40,2.50,2.00,2.50,11.30,2.63,center,"""7-0""",right,17.10,0.10
Gani Lawal,Georgia Tech,99,91,24.30,4.50,8.20,0.548,4.50,8.20,0.550,0.00,0.00,0.000,2.80,5.00,0.552,2.70,4.50,7.20,0.40,0.60,1.30,2.10,2.40,11.80,8.64,forward,"""6-9""",right,-9.10,0.00
Tiny Gallon,Oklahoma,30,21,24.00,4.10,7.40,0.547,3.90,6.90,0.573,0.10,0.60,0.235,2.10,3.00,0.697,2.80,5.20,7.90,0.80,0.70,0.80,2.30,2.80,10.30,7.79,forward,"""6-9""",right,0.00,0.00
