name,college_country,g,gs,mp,fg,fga,fg%,2p,2pa,2p%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,sos,position,height,handedness,per,vorp
Zion Williamson,Duke,33,33,30.00,9.00,13.20,0.680,8.20,11.00,0.747,0.70,2.20,0.338,3.90,6.20,0.640,3.50,5.40,8.90,2.10,2.10,1.80,2.40,2.10,22.60,11.98,forward,"""6-6""",left,24.10,0.70
Ja Morant,Murray State,65,65,35.30,6.10,12.60,0.485,4.80,8.90,0.545,1.30,3.80,0.343,5.10,6.30,0.810,1.50,4.60,6.10,8.20,1.40,0.60,3.80,1.70,18.70,-3.32,guard,"""6-3""",right,17.40,1.20
RJ Barrett,Duke,38,38,35.30,8.40,18.50,0.454,6.50,12.20,0.529,1.90,6.20,0.308,3.90,5.90,0.665,1.60,6.00,7.60,4.30,0.90,0.40,3.20,1.80,22.60,11.98,guard,"""6-6""",left,10.70,-1.00
De'Andre Hunter,Virginia,71,38,26.60,4.40,8.50,0.509,3.40,6.30,0.541,0.90,2.30,0.419,2.80,3.60,0.773,1.30,3.10,4.40,1.60,0.60,0.50,1.20,1.90,12.40,9.61,forward,"""6-7""",right,8.60,-1.40
Darius Garland,Vanderbilt,5,5,27.80,5.80,10.80,0.537,3.60,6.20,0.581,2.20,4.60,0.478,2.40,3.20,0.750,0.40,3.40,3.80,2.60,0.80,0.40,3.00,1.40,16.20,7.79,guard,"""6-1""",right,8.50,-1.70
Jarrett Culver,Texas Tech,75,58,29.50,5.30,11.60,0.459,3.90,7.50,0.522,1.40,4.10,0.341,2.90,4.20,0.687,1.20,4.40,5.60,2.80,1.30,0.60,2.10,2.00,14.90,9.56,guard,"""6-6""",right,9.60,-0.80
Coby White,North Carolina,35,35,28.50,5.40,12.70,0.423,3.00,6.10,0.500,2.30,6.60,0.353,3.00,3.70,0.800,0.30,3.20,3.50,4.10,1.10,0.30,2.70,1.90,16.10,11.35,guard,"""6-4""",right,11.90,-0.40
Jaxson Hayes,Texas,32,21,23.30,3.80,5.30,0.728,3.80,5.30,0.728,0.00,0.00,0.000,2.30,3.10,0.740,1.80,3.30,5.00,0.30,0.60,2.20,0.90,3.30,10.00,11.46,center,"""6-11""",right,17.60,0.50
Rui Hachimura,Gonzaga,102,39,19.70,4.50,7.80,0.579,4.30,7.10,0.607,0.20,0.70,0.316,2.80,3.70,0.746,1.10,3.30,4.40,0.80,0.60,0.50,1.20,1.60,12.10,3.91,forward,"""6-8""",right,13.50,-0.40
Cam Reddish,Duke,36,35,29.70,4.30,12.00,0.356,1.80,4.60,0.394,2.50,7.40,0.333,2.40,3.20,0.772,0.60,3.10,3.70,1.90,1.60,0.60,2.70,2.40,13.50,11.98,forward,"""6-8""",right,9.00,-0.90
Cameron Johnson,North Carolina,135,90,25.40,3.80,8.40,0.457,1.90,3.60,0.523,1.90,4.70,0.405,1.70,2.00,0.817,1.10,3.00,4.10,1.80,0.80,0.30,1.00,1.80,11.20,10.06,forward,"""6-8""",right,12.90,0.70
P.J. Washington,Kentucky,72,63,28.30,4.50,8.70,0.521,4.00,7.30,0.547,0.50,1.40,0.384,3.40,5.40,0.632,2.10,4.50,6.60,1.70,0.80,1.00,1.90,2.60,12.90,10.51,forward,"""6-7""",right,12.40,0.20
Tyler Herro,Kentucky,37,37,32.60,5.00,10.90,0.462,3.40,6.30,0.538,1.60,4.60,0.355,2.40,2.50,0.935,0.40,4.10,4.50,2.50,1.10,0.30,1.60,1.30,14.00,10.29,guard,"""6-5""",right,12.50,0.10
Romeo Langford,Indiana,32,32,34.10,5.50,12.30,0.448,4.50,8.40,0.530,1.10,3.90,0.272,4.40,6.10,0.722,1.40,4.00,5.40,2.30,0.80,0.80,2.10,1.90,16.50,10.10,guard,"""6-4""",right,5.40,-0.30
Chuma Okeke,Auburn,72,38,25.50,3.60,7.50,0.481,2.40,4.30,0.550,1.20,3.20,0.389,1.40,2.00,0.703,2.40,3.90,6.30,1.50,1.30,1.00,1.30,1.90,9.90,9.11,forward,"""6-8""",right,0.00,0.00
Nickeil Alexander-Walker,Virginia Tech,67,67,29.90,4.70,10.10,0.464,3.00,5.60,0.529,1.70,4.50,0.383,2.40,3.10,0.763,0.60,3.40,4.00,2.70,1.40,0.50,2.20,1.90,13.50,7.25,guard,"""6-5""",right,8.90,-0.40
Matisse Thybulle,Washington,135,134,29.40,3.30,7.60,0.429,1.90,3.70,0.507,1.40,4.00,0.358,1.30,1.60,0.782,0.90,2.20,3.10,2.00,2.50,1.40,1.90,2.80,9.20,7.00,guard,"""6-5""",right,10.00,0.80
Brandon Clarke,Gonzaga,98,69,27.80,6.00,9.30,0.639,5.90,9.10,0.649,0.10,0.20,0.250,2.50,4.00,0.618,2.70,4.90,7.70,1.90,1.00,2.40,1.50,2.20,14.50,2.70,forward,"""6-8""",right,20.90,1.70
Grant Williams,Tennessee,104,101,28.90,5.30,10.20,0.516,5.00,9.20,0.540,0.30,1.00,0.291,4.80,6.40,0.758,2.50,4.00,6.50,2.10,0.90,1.50,2.10,3.20,15.70,10.15,forward,"""6-6""",right,7.90,-0.20
Darius Bazley,Princeton,0,0,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.00,0.00,0.000,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,forward,"""6-8""",left,9.60,0.10
Ty Jerome,Virginia,105,76,26.40,3.50,8.00,0.435,1.90,3.90,0.479,1.60,4.00,0.392,1.10,1.40,0.788,0.30,2.80,3.00,3.70,1.20,0.00,1.40,1.90,9.60,10.05,guard,"""6-5""",right,7.90,-0.20
Nassir Little,North Carolina,36,0,18.20,3.60,7.60,0.478,3.30,6.20,0.527,0.40,1.40,0.269,2.10,2.80,0.770,1.60,3.00,4.60,0.70,0.50,0.50,1.30,1.60,9.80,11.35,forward,"""6-7""",right,9.60,-0.20
Dylan Windler,Belmont,128,97,29.40,4.60,8.60,0.541,2.90,4.40,0.669,1.70,4.20,0.406,2.20,2.90,0.761,1.60,6.20,7.80,2.00,1.00,0.80,1.60,2.40,13.20,-2.32,guard,"""6-6""",left,0.00,0.00
Mfiondu Kabengele,Florida State,71,0,18.30,3.50,7.00,0.498,3.00,5.80,0.526,0.50,1.30,0.374,2.80,3.90,0.724,2.00,3.30,5.30,0.30,0.50,1.20,1.20,2.40,10.30,9.38,center,"""6-9""",right,18.20,0.10
Jordan Poole,Michigan,75,37,22.70,3.10,7.30,0.434,1.60,3.10,0.519,1.50,4.10,0.370,1.60,1.90,0.831,0.10,2.00,2.20,1.40,0.80,0.20,1.10,1.50,9.40,9.98,guard,"""6-4""",right,7.20,-1.50
Keldon Johnson,Kentucky,37,36,30.70,4.60,10.10,0.461,3.40,6.90,0.498,1.20,3.20,0.381,2.90,4.20,0.703,1.30,4.50,5.90,1.60,0.80,0.20,1.60,2.20,13.50,10.29,forward,"""6-5""",right,19.10,0.30
Kevin Porter Jr.,Southern California,21,4,22.10,3.50,7.50,0.471,2.20,4.20,0.517,1.30,3.20,0.412,1.10,2.20,0.522,1.00,3.00,4.00,1.40,0.80,0.50,1.90,2.10,9.50,4.96,forward,"""6-4""",left,10.80,-0.50
Nicolas Claxton,Georgia,65,37,23.00,2.80,6.10,0.457,2.40,4.80,0.500,0.40,1.30,0.302,2.40,4.00,0.611,2.00,4.20,6.20,1.00,0.60,1.90,1.40,2.30,8.40,8.50,forward,"""6-11""",left,14.80,0.10
KZ Okpala,Stanford,52,50,30.80,4.70,10.70,0.439,4.00,8.50,0.468,0.80,2.30,0.331,3.70,5.40,0.674,1.20,3.70,4.80,1.90,1.00,0.50,2.70,2.80,13.80,6.14,forward,"""6-8""",right,13.70,0.00
Carsen Edwards,Purdue,108,94,29.40,5.90,14.20,0.412,3.30,7.20,0.455,2.60,7.10,0.368,3.40,4.20,0.817,0.40,3.00,3.40,2.50,1.20,0.20,2.20,1.90,17.80,9.84,guard,"""5-11""",right,6.90,-0.20
Bruno Fernando,Maryland,64,53,26.40,4.50,7.60,0.595,4.50,7.40,0.603,0.10,0.20,0.308,2.90,3.80,0.763,2.30,6.50,8.70,1.40,0.50,1.60,2.30,2.80,12.00,9.02,center,"""6-9""",right,11.90,-0.40
Cody Martin,North Carolina State,122,87,28.90,3.70,7.40,0.501,3.30,6.10,0.539,0.40,1.30,0.325,1.90,2.70,0.689,1.40,3.20,4.60,3.60,1.30,0.80,1.60,2.30,9.70,6.59,forward,"""6-5""",right,10.50,0.00
Daniel Gafford,Arkansas,67,58,25.50,5.60,8.90,0.635,5.60,8.90,0.635,0.00,0.00,0.000,3.00,5.30,0.562,2.50,4.90,7.40,0.70,0.70,2.10,1.70,3.00,14.30,9.31,center,"""6-10""",right,16.20,0.10
Justin James,Wyoming,131,73,28.10,5.30,11.90,0.442,4.10,8.40,0.487,1.20,3.60,0.337,4.00,5.40,0.731,0.80,4.60,5.40,2.60,0.90,0.50,2.50,2.20,15.70,1.62,guard,"""6-7""",right,11.00,0.00
Eric Paschall,Villanova,137,109,29.60,4.30,9.20,0.468,3.10,5.40,0.562,1.20,3.70,0.331,2.50,3.20,0.765,1.50,3.60,5.10,1.50,0.70,0.50,1.90,2.30,12.30,7.55,forward,"""6-6""",right,14.50,-0.30
Admiral Schofield,Tennessee,132,95,24.90,4.40,9.70,0.458,3.00,6.10,0.501,1.40,3.60,0.387,1.60,2.10,0.763,1.30,4.10,5.30,1.30,0.70,0.40,1.40,2.60,11.90,9.58,forward,"""6-5""",right,6.10,-0.30
Jaylen Nowell,Washington,70,67,33.50,6.00,12.60,0.476,4.70,9.40,0.504,1.30,3.20,0.396,2.80,3.50,0.789,1.00,3.70,4.60,2.90,1.20,0.30,2.70,2.50,16.10,6.54,guard,"""6-4""",right,10.50,-0.10
Bol Bol,Oregon,9,9,29.80,8.20,14.70,0.561,6.80,11.90,0.570,1.40,2.80,0.520,3.10,4.10,0.757,2.10,7.40,9.60,1.00,0.80,2.70,2.00,1.70,21.00,6.13,forward,"""7-2""",right,14.40,0.00
Isaiah Roby,Nebraska,97,52,23.90,2.90,6.10,0.476,2.40,4.60,0.523,0.50,1.50,0.336,1.80,2.60,0.702,1.60,3.90,5.50,1.50,0.80,1.60,1.60,2.80,8.10,9.79,forward,"""6-8""",right,-7.70,0.00
Talen Horton-Tucker,Iowa State,35,34,27.20,4.40,10.90,0.406,3.00,6.40,0.475,1.40,4.50,0.308,1.60,2.50,0.625,0.70,4.20,4.90,2.30,1.30,0.70,1.70,2.30,11.80,9.30,guard,"""6-4""",right,12.30,0.00
Ignas Brazdeikis,Michigan,37,37,29.60,5.10,11.00,0.462,3.60,7.10,0.500,1.50,3.90,0.392,3.10,4.10,0.773,1.20,4.30,5.40,0.80,0.70,0.50,1.20,2.10,14.80,10.55,forward,"""6-6""",left,3.20,-0.10
Terance Mann,Florida State,140,101,25.90,3.60,6.50,0.552,3.20,5.40,0.601,0.40,1.20,0.327,1.80,2.80,0.670,1.90,3.20,5.10,1.90,0.80,0.20,1.40,2.00,9.40,8.95,guard,"""6-5""",right,10.60,0.00
Quinndary Weatherspoon,Mississippi State,131,117,31.20,5.40,11.20,0.480,4.00,7.40,0.539,1.40,3.90,0.368,3.20,4.00,0.788,1.40,3.70,5.20,2.40,1.50,0.40,2.30,2.30,15.40,6.95,guard,"""6-3""",right,3.20,-0.10
Jarrell Brantley,College of Charleston,123,119,31.70,5.60,11.60,0.487,4.70,9.00,0.526,0.90,2.60,0.353,3.40,4.40,0.768,1.80,6.00,7.90,1.70,1.20,0.70,2.60,2.90,15.60,-1.60,forward,"""6-5""",right,8.00,-0.10
Tremont Waters,Louisiana State,66,61,32.70,5.20,12.20,0.423,3.20,6.50,0.496,1.90,5.70,0.340,3.30,4.20,0.807,0.30,2.80,3.10,5.90,2.50,0.10,3.20,2.10,15.60,8.59,guard,"""5-9""",right,4.30,-0.20
Jalen McDaniels,San Diego,67,55,27.90,5.00,10.00,0.504,4.60,8.60,0.538,0.40,1.40,0.298,2.70,3.60,0.758,2.10,5.80,7.90,1.50,1.00,0.50,1.80,2.60,13.20,3.19,forward,"""6-10""",right,10.70,-0.10
Justin Wright-Foreman,Hofstra,125,82,28.10,6.60,13.60,0.483,4.30,7.80,0.555,2.20,5.70,0.386,3.30,4.10,0.811,0.40,2.60,2.90,2.10,0.70,0.20,1.70,1.60,18.60,-1.81,guard,"""6-0""",left,8.80,-0.10
Marial Shayok,Virginia,137,57,20.70,3.30,7.10,0.470,2.40,4.60,0.516,0.90,2.40,0.381,1.40,1.70,0.787,0.50,2.20,2.70,1.30,0.70,0.20,1.30,1.50,8.90,9.79,guard,"""6-5""",right,1.40,-0.10
Kyle Guy,Virginia,106,78,29.10,4.40,10.10,0.433,2.00,4.50,0.444,2.40,5.60,0.425,1.30,1.60,0.806,0.40,2.60,3.00,1.60,0.70,0.00,1.10,1.10,12.50,10.05,guard,"""6-1""",right,6.60,0.00
Jaylen Hands,California-Los Angeles,64,48,28.30,4.10,9.90,0.409,2.40,5.40,0.440,1.70,4.60,0.373,2.30,3.00,0.762,0.50,3.30,3.80,4.40,1.20,0.20,2.50,1.40,12.10,6.82,guard,"""6-3""",right,0.00,0.00
Jordan Bone,Tennessee,95,87,26.10,3.60,8.40,0.424,2.60,5.70,0.458,1.00,2.70,0.353,1.60,2.00,0.817,0.30,2.10,2.40,4.30,0.70,0.10,1.60,1.20,9.70,10.15,guard,"""6-3""",right,0.80,-0.10
Miye Oni,Yale,87,82,31.70,5.20,12.10,0.428,3.20,6.50,0.490,2.00,5.60,0.356,2.70,3.50,0.777,0.80,5.40,6.20,3.30,0.90,1.00,2.60,2.80,15.00,-2.08,guard,"""6-5""",right,9.70,-0.10
Dewan Hernandez,Miami (FL),64,47,21.60,3.50,6.30,0.560,3.50,6.20,0.567,0.00,0.10,0.000,1.60,2.40,0.675,1.70,3.20,4.90,0.30,0.50,0.90,1.20,1.90,8.60,8.26,center,"""6-10""",right,12.90,-0.10
Deandre Ayton,Arizona,35,35,33.50,7.90,12.90,0.612,7.50,11.90,0.635,0.30,1.00,0.343,4.00,5.50,0.733,3.40,8.20,11.60,1.60,0.60,1.90,2.00,2.30,20.10,6.84,center,"""6-11""",right,20.30,2.00
Marvin Bagley III,Duke,33,32,33.90,8.20,13.30,0.614,7.50,11.60,0.647,0.70,1.80,0.397,4.00,6.30,0.627,4.00,7.10,11.10,1.50,0.80,0.90,2.30,1.80,21.00,9.71,forward,"""6-11""",left,18.30,0.30
Jaren Jackson Jr.,Michigan State,35,34,21.80,3.40,6.60,0.513,2.30,3.90,0.596,1.10,2.70,0.396,3.00,3.80,0.797,1.50,4.30,5.80,1.10,0.60,3.00,1.80,3.20,10.90,7.10,forward,"""6-11""",right,16.30,1.70
Trae Young,Oklahoma,32,32,35.40,8.20,19.30,0.422,4.50,9.10,0.493,3.70,10.30,0.360,7.40,8.60,0.861,0.40,3.50,3.90,8.70,1.70,0.30,5.20,1.80,27.40,10.56,guard,"""6-1""",right,20.20,4.00
Mo Bamba,Texas,30,29,30.20,4.90,9.00,0.541,4.40,7.30,0.603,0.50,1.70,0.275,2.70,4.00,0.681,3.20,7.30,10.50,0.50,0.80,3.70,1.50,2.50,12.90,10.67,center,"""7-0""",right,16.30,0.70
Wendell Carter Jr.,West Virginia,37,37,26.90,4.80,8.60,0.561,4.30,7.40,0.586,0.50,1.20,0.413,3.40,4.50,0.738,2.90,6.10,9.10,2.00,0.80,2.10,2.00,2.80,13.50,9.71,center,"""6-9""",right,15.40,0.00
Collin Sexton,Alabama,33,32,29.90,5.90,13.30,0.447,4.60,9.30,0.495,1.30,4.00,0.336,5.90,7.60,0.778,1.00,2.70,3.80,3.60,0.80,0.10,2.80,2.50,19.20,10.64,guard,"""6-1""",right,14.00,-1.70
Kevin Knox II,Kentucky,37,37,32.40,5.30,11.90,0.445,3.80,7.40,0.509,1.50,4.50,0.341,3.40,4.40,0.774,0.90,4.50,5.40,1.40,0.80,0.30,2.30,2.20,15.60,10.73,forward,"""6-7""",right,8.60,-2.70
Mikal Bridges,Villanova,116,73,27.30,3.90,7.50,0.525,2.50,3.80,0.645,1.50,3.70,0.400,1.90,2.30,0.845,1.10,3.20,4.30,1.60,1.40,0.90,1.10,2.20,11.30,9.74,forward,"""6-6""",right,11.80,1.70
Shai Gilgeous-Alexander,Kentucky,37,24,33.70,4.90,10.20,0.485,4.30,8.60,0.500,0.60,1.50,0.404,3.90,4.70,0.817,0.90,3.20,4.10,5.10,1.60,0.50,2.70,1.70,14.40,10.73,guard,"""6-5""",right,15.70,3.10
Miles Bridges,Michigan State,62,60,31.60,6.20,13.20,0.470,4.20,7.80,0.537,2.00,5.50,0.375,2.50,3.20,0.776,1.40,6.20,7.60,2.40,0.60,1.10,2.10,1.70,17.00,8.80,forward,"""6-6""",left,12.60,0.30
Jerome Robinson,Boston College,90,90,34.60,6.20,13.90,0.450,4.50,9.20,0.488,1.80,4.70,0.376,3.40,4.50,0.755,0.50,3.30,3.80,3.30,1.30,0.30,2.90,2.50,17.70,7.65,guard,"""6-4""",right,7.30,-0.70
Michael Porter Jr.,Missouri,3,1,17.70,3.30,10.00,0.333,2.30,6.70,0.350,1.00,3.30,0.300,2.30,3.00,0.778,1.30,5.30,6.70,0.30,1.00,0.30,1.00,2.00,10.00,9.19,forward,"""6-10""",right,19.80,0.80
Troy Brown Jr.,Oregon,35,35,31.20,4.10,9.20,0.444,3.20,6.10,0.524,0.90,3.10,0.291,2.20,3.00,0.743,1.50,4.70,6.20,3.20,1.60,0.20,2.50,2.20,11.30,4.84,forward,"""6-6""",right,12.90,0.20
Zhaire Smith,Texas Tech,37,21,28.40,4.20,7.50,0.556,3.70,6.40,0.574,0.50,1.10,0.450,2.50,3.40,0.717,2.20,2.80,5.00,1.80,1.10,1.10,1.10,1.80,11.30,9.60,guard,"""6-3""",right,7.60,-0.20
Donte DiVincenzo,Villanova,85,12,25.40,3.60,7.60,0.469,2.00,3.60,0.573,1.50,4.00,0.378,1.60,2.20,0.727,1.10,2.90,4.00,2.40,0.90,0.20,1.60,1.80,10.20,9.74,guard,"""6-4""",right,13.00,1.30
Lonnie Walker IV,Miami (FL),32,18,27.80,4.10,9.90,0.415,2.40,4.90,0.487,1.80,5.10,0.346,1.50,2.00,0.738,0.40,2.20,2.60,1.90,0.90,0.50,1.20,1.60,11.50,6.96,guard,"""6-5""",right,10.50,-0.40
Kevin Huerter,Maryland,65,65,31.90,4.20,9.00,0.466,2.10,3.60,0.572,2.10,5.40,0.394,1.50,2.00,0.748,0.80,4.20,5.00,3.00,0.80,0.70,1.90,2.10,12.00,8.11,guard,"""6-7""",right,10.80,0.00
Josh Okogie,Georgia Tech,61,61,33.00,5.40,12.30,0.437,4.30,9.40,0.454,1.10,2.80,0.382,5.10,6.60,0.777,1.80,4.00,5.80,2.00,1.50,0.80,2.30,2.70,16.90,7.84,guard,"""6-4""",right,10.40,-0.60
Grayson Allen,Duke,142,97,27.90,4.30,9.90,0.430,2.20,4.50,0.490,2.00,5.40,0.380,3.50,4.20,0.834,0.50,2.60,3.20,3.00,1.00,0.10,1.70,2.10,14.10,10.27,guard,"""6-4""",right,10.30,-0.30
Chandler Hutchison,Boise State,123,89,24.00,4.30,8.90,0.476,3.60,7.10,0.508,0.60,1.80,0.353,2.90,4.20,0.687,1.10,4.30,5.50,2.10,1.00,0.20,1.90,2.20,12.00,2.57,forward,"""6-7""",right,10.10,-0.50
Aaron Holiday,California-Los Angeles,101,65,31.80,4.70,10.50,0.450,2.90,6.20,0.469,1.80,4.20,0.422,3.10,3.90,0.795,0.50,2.70,3.20,4.70,1.20,0.20,3.00,2.70,14.30,7.65,guard,"""6-0""",right,11.70,0.20
Moritz Wagner,Michigan,107,77,21.00,3.90,7.20,0.547,2.90,4.50,0.643,1.00,2.70,0.385,1.50,2.20,0.698,1.20,3.30,4.50,0.50,0.80,0.40,1.20,2.50,10.40,9.16,center,"""6-11""",right,13.40,-0.30
Landry Shamet,Wichita State,71,68,28.60,4.20,8.70,0.480,1.90,3.60,0.542,2.20,5.10,0.437,2.30,2.80,0.811,0.50,2.50,3.00,4.10,0.80,0.20,1.50,2.10,12.90,4.22,guard,"""6-4""",right,9.90,0.20
Robert Williams III,Texas A&M,61,40,25.70,4.80,8.10,0.591,4.80,7.60,0.624,0.00,0.50,0.067,1.50,2.80,0.541,2.70,6.00,8.70,1.40,0.70,2.50,1.70,2.00,11.10,9.29,center,"""6-8""",right,21.30,1.00
Jacob Evans,Cincinnati,105,80,29.10,4.00,9.40,0.429,2.40,5.00,0.476,1.70,4.40,0.377,2.00,2.70,0.755,1.30,3.00,4.30,2.50,1.10,0.90,1.30,2.00,11.70,4.76,guard,"""6-4""",right,4.80,-0.80
Omari Spellman,Villanova,40,39,28.10,4.00,8.40,0.476,2.40,4.70,0.511,1.60,3.80,0.433,1.20,1.80,0.700,2.30,5.80,8.00,0.80,0.70,1.50,1.00,2.30,10.90,10.24,forward,"""6-8""",right,13.40,0.20
Jevon Carter,West Virginia,144,112,29.90,4.10,10.00,0.407,2.40,5.30,0.453,1.70,4.70,0.355,2.40,3.00,0.798,0.90,2.80,3.70,3.90,2.30,0.20,1.80,2.50,12.20,9.53,guard,"""6-1""",right,10.00,0.30
Jalen Brunson,Villanova,116,115,28.90,5.00,9.80,0.510,3.50,5.90,0.587,1.50,3.90,0.393,2.90,3.50,0.820,0.40,2.10,2.50,3.70,0.80,0.00,1.90,1.80,14.40,9.74,guard,"""6-1""",left,13.60,0.40
Devonte' Graham,Kansas,142,111,31.70,3.80,9.10,0.422,1.80,4.00,0.437,2.10,5.10,0.409,2.50,3.20,0.787,0.40,2.70,3.10,4.50,1.40,0.10,1.90,1.70,12.30,11.86,guard,"""6-1""",right,14.50,1.00
Melvin Frazier Jr.,Tulane,94,69,27.70,3.80,7.90,0.481,3.00,5.20,0.572,0.90,2.80,0.312,2.10,3.20,0.653,1.20,3.20,4.40,1.70,1.60,0.50,2.00,2.00,10.60,3.37,guard,"""6-5""",left,7.50,-0.20
Mitchell Robinson,,0,0,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.00,0.00,0.000,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,center,"""7-0""",right,22.80,3.30
Gary Trent Jr.,Duke,37,37,33.90,4.80,11.50,0.415,2.20,5.00,0.430,2.60,6.50,0.402,2.30,2.60,0.876,0.80,3.40,4.20,1.40,1.20,0.10,1.00,1.70,14.50,9.71,guard,"""6-5""",right,12.20,0.30
Khyri Thomas,Creighton,102,95,27.20,4.20,8.20,0.511,2.90,5.10,0.578,1.30,3.20,0.406,1.50,2.10,0.719,1.10,3.50,4.60,2.50,1.40,0.30,1.60,1.80,11.20,7.83,guard,"""6-3""",right,5.40,-0.20
Jarred Vanderbilt,Kentucky,14,0,17.00,2.10,4.90,0.426,2.10,4.80,0.433,0.00,0.10,0.000,1.70,2.70,0.632,3.30,4.60,7.90,1.00,0.40,0.80,1.10,2.60,5.90,10.73,forward,"""6-9""",right,10.40,-0.10
Bruce Brown,Miami (FL),52,48,32.60,4.10,9.20,0.442,3.10,6.30,0.502,0.90,3.00,0.316,2.60,3.70,0.702,1.40,4.80,6.20,3.50,1.40,0.60,2.10,2.40,11.70,8.26,guard,"""6-4""",right,9.60,-0.20
Justin Jackson,Maryland,44,40,28.20,3.50,8.40,0.418,2.20,5.10,0.439,1.30,3.30,0.386,2.10,2.80,0.728,1.90,4.60,6.50,1.20,0.90,0.80,2.00,2.00,10.30,8.11,forward,"""6-7""",right,0.00,0.00
Hamidou Diallo,Kentucky,37,37,24.80,3.60,8.50,0.428,2.90,6.40,0.458,0.70,2.10,0.338,2.10,3.40,0.616,0.90,2.80,3.60,1.20,0.80,0.40,1.40,2.60,10.00,10.73,guard,"""6-5""",right,9.60,-0.70
De'Anthony Melton,Southern California,36,25,27.00,2.80,6.40,0.437,2.20,4.40,0.510,0.60,2.10,0.284,2.10,3.00,0.706,1.40,3.30,4.70,3.50,1.90,1.00,1.80,2.30,8.30,6.40,guard,"""6-2""",right,11.80,0.30
Svi Mykhailiuk,Kansas,136,70,22.60,3.10,7.30,0.428,1.40,3.00,0.455,1.70,4.30,0.409,0.70,1.00,0.746,0.70,1.80,2.50,1.50,0.70,0.20,1.10,1.70,8.70,11.86,forward,"""6-7""",right,9.80,-0.30
Keita Bates-Diop,Ohio State,109,70,24.80,4.30,9.10,0.472,3.20,5.90,0.537,1.10,3.20,0.352,1.90,2.50,0.776,1.10,4.60,5.70,1.10,0.60,1.20,1.20,1.40,11.70,7.69,forward,"""6-8""",right,11.30,-0.10
Chimezie Metu,Southern California,104,71,27.00,4.80,8.90,0.533,4.60,8.50,0.545,0.10,0.40,0.302,2.70,3.90,0.692,1.80,4.50,6.30,1.20,0.70,1.60,1.70,2.50,12.30,6.78,forward,"""6-9""",right,13.00,-0.10
Alize Johnson,Missouri State,66,66,30.70,5.20,11.30,0.457,3.90,7.50,0.523,1.20,3.80,0.325,3.30,4.60,0.716,3.20,7.90,11.10,2.40,0.50,0.30,2.30,2.30,14.90,0.82,forward,"""6-7""",right,10.80,-0.10
Tony Carr,Penn State,70,70,34.20,5.50,13.90,0.396,3.80,9.50,0.397,1.70,4.40,0.395,3.80,4.90,0.786,0.80,4.10,4.90,4.60,0.70,0.30,2.40,2.00,16.60,8.35,guard,"""6-5""",right,0.00,0.00
Vincent Edwards,Purdue,138,127,28.70,4.30,9.00,0.473,3.00,5.80,0.518,1.30,3.20,0.392,2.10,2.50,0.820,1.90,3.70,5.60,2.90,0.50,0.50,1.70,2.00,11.90,8.15,forward,"""6-8""",right,3.80,0.00
Devon Hall,Virginia,128,89,24.00,2.40,5.70,0.419,1.50,3.40,0.440,0.90,2.30,0.389,1.20,1.50,0.807,0.30,2.80,3.20,2.10,0.60,0.20,0.90,1.40,6.90,9.73,guard,"""6-2""",left,3.10,-0.10
Shake Milton,Southern Methodist,87,80,34.70,4.50,9.90,0.452,2.30,4.80,0.478,2.20,5.10,0.427,2.30,2.90,0.791,0.40,3.40,3.90,3.90,1.10,0.40,1.80,1.60,13.40,4.22,guard,"""6-5""",right,13.10,0.10
Ray Spalding,Louisville,100,48,21.70,3.30,6.00,0.557,3.30,5.70,0.571,0.10,0.30,0.240,1.40,2.50,0.579,2.30,4.00,6.30,0.90,1.00,1.10,1.30,2.60,8.10,9.32,forward,"""6-10""",right,14.60,-0.10
Kevin Hervey,Texas-Arlington,115,84,27.70,5.50,12.50,0.440,3.70,7.00,0.530,1.80,5.50,0.324,2.80,3.60,0.768,1.90,6.10,8.00,1.90,1.00,0.50,2.10,1.90,15.50,-2.12,forward,"""6-9""",right,5.00,0.00
Thomas Welsh,California-Los Angeles,132,94,25.00,4.00,7.50,0.537,3.70,6.60,0.554,0.30,0.90,0.333,1.00,1.30,0.798,2.40,5.50,7.80,0.80,0.40,1.10,0.70,2.50,9.50,7.80,center,"""7-0""",right,16.10,0.00
George King,Colorado,127,89,22.60,3.50,7.90,0.444,2.10,4.30,0.478,1.40,3.60,0.401,1.80,2.40,0.731,1.40,3.90,5.40,0.70,0.40,0.30,1.50,1.80,10.20,7.36,forward,"""6-6""",right,1.90,0.00
Kostas Antetokounmpo,Dayton,29,6,15.10,2.00,3.50,0.574,1.90,3.00,0.651,0.10,0.50,0.133,1.10,2.20,0.516,0.80,2.00,2.90,0.40,0.20,1.10,1.30,2.30,5.20,2.70,forward,"""6-10""",right,10.20,0.00
Markelle Fultz,Washington,25,25,35.70,8.40,17.60,0.476,6.30,12.50,0.502,2.10,5.00,0.413,4.40,6.70,0.649,1.30,4.40,5.70,5.90,1.60,1.20,3.20,2.50,23.20,6.82,guard,"""6-4""",right,13.50,0.00
